"","Var1","Var2","bicor","pval","obs","sig"
"1","Age","ME3",-0.270151114600323,0.0726906615350256,45,""
"2","Sex","ME3",-0.0371760871480361,0.808430884370064,45,""
"3","Bodyweight","ME3",0.208566913952974,0.169158392352652,45,""
"4","Lean_mass","ME3",-0.141176255640145,0.354948359849973,45,""
"5","Fat_mass","ME3",0.576585143971481,3.39282263886387e-05,45,"***"
"6","BodyFat","ME3",0.544590902708001,0.00010994933853452,45,"***"
"7","BMI","ME3",0.309189412296233,0.038764078059055,45,"*"
"8","Waist_circumference","ME3",0.385753680349337,0.00886935783327399,45,"**"
"9","SBP","ME3",0.00165453294171528,0.991393692815455,45,""
"10","DBP","ME3",0.0783448663587545,0.608964849168763,45,""
"11","Resting_HR","ME3",0.168868789943322,0.267466449085645,45,""
"12","Max_HR","ME3",0.0937360567330157,0.540235504527742,45,""
"13","VO2peak","ME3",-0.184018933316685,0.226253729691953,45,""
"14","VO2peak_kg_min","ME3",-0.461370563092856,0.00142313044367089,45,"**"
"15","VO2peak_kgLM_min","ME3",-0.0724185389051267,0.636391950857098,45,""
"16","RMR","ME3",0.0121454309134602,0.937631420590419,44,""
"17","Fat_OX","ME3",0.0778780101418336,0.615332063601016,44,""
"18","CHO_OX","ME3",-0.0553258140506784,0.721317674003555,44,""
"19","HOMA_IR","ME3",0.378148646211765,0.010431075703825,45,"*"
"20","Adipo_IR","ME3",0.119300794875884,0.435056968849679,45,""
"21","Glucose","ME3",0.42488703341394,0.00362278883961801,45,"**"
"22","Insulin","ME3",0.318731461095946,0.0328466841573707,45,"*"
"23","NEFA","ME3",0.00166523714231629,0.9913380153755,45,""
"24","Glycerol","ME3",0.043912974772096,0.774551936781436,45,""
"25","Triglyceride","ME3",0.283292475249929,0.0624019337346425,44,""
"26","Lactate","ME3",0.322967978378504,0.0304698131231015,45,"*"
"27","Cortisol","ME3",0.380054155140546,0.0109371535717307,44,"*"
"28","IFNg","ME3",-0.0547060179985271,0.721151890869743,45,""
"29","IL10","ME3",0.0389875614332818,0.803964708349129,43,""
"30","IL1b","ME3",0.0399855115162815,0.794256652836849,45,""
"31","IL6","ME3",-0.0667272876599428,0.694767819034478,37,""
"32","TNFa","ME3",-0.16798994093246,0.270000683946259,45,""
"33","FCS_mean","ME3",0.374547258759941,0.0112494038608434,45,"*"
"34","SR","ME3",-0.35588907467434,0.0164248946979865,45,"*"
"35","CD14_per_adipocyte","ME3",0.206327280634987,0.179035561560617,44,""
"36","CD206_per_adipocyte","ME3",0.135465568113359,0.380617158115476,44,""
"37","Age","ME6",-0.191035511494722,0.208732486472577,45,""
"38","Sex","ME6",0.0783466008680477,0.608956896544656,45,""
"39","Bodyweight","ME6",0.100894639364462,0.509599190186341,45,""
"40","Lean_mass","ME6",-0.175076024374009,0.250017138654762,45,""
"41","Fat_mass","ME6",0.477207607620251,0.000917891560573207,45,"***"
"42","BodyFat","ME6",0.453637892437606,0.00174981504782977,45,"**"
