"","HIGH_vs_LOW","HIGH_vs_MOD","MOD_vs_LOW"
" ENSG00000116489.13|CAPZA1",1.21770019496056e-07,8.22829965513602e-07,0.0119142921625647
" ENSG00000106080.11|FKBP14",2.27036834086471e-06,2.71511855683169e-06,0.000713381203833523
" ENSG00000077254.14|USP33",1.16946276571357e-08,1.41150149945979e-06,1.07207549727706e-05
" ENSG00000151414.15|NEK7",9.75171224566234e-07,6.9740826055449e-07,6.33419794707768e-05
" ENSG00000138071.15|ACTR2",4.9020309607519e-08,4.15552287828512e-07,2.7911005282965e-05
" ENSG00000062650.20|WAPL",9.46440464640189e-07,1.33210782034404e-06,0.000222698336478033
" ENSG00000148411.8|NACC2",1.27672130413154e-05,5.7166011935097e-06,0.000606450359002308
" ENSG00000221869.5|CEBPD",2.75832748526383e-05,2.94687043073187e-06,0.000158182954973718
" ENSG00000108443.14|RPS6KB1",4.56485246456506e-06,1.19215157392936e-06,0.000650200423093605
" ENSG00000083520.15|DIS3",2.86352319510995e-06,2.83998981573739e-06,0.00127180048225299
" ENSG00000124766.7|SOX4",5.79887953433555e-07,3.63516963752808e-07,0.00130712733576221
" ENSG00000122958.15|VPS26A",6.93217717487359e-06,5.60191016566157e-06,0.000247213905239851
" ENSG00000106460.20|TMEM106B",2.82404797459867e-05,1.21822455470004e-05,0.0487387702958745
" ENSG00000097033.15|SH3GLB1",2.50729817229695e-05,1.29167892562311e-05,0.0017252347129133
" ENSG00000056586.16|RC3H2",1.33579841167713e-05,1.22342698112217e-05,0.000416545825421277
" ENSG00000100697.17|DICER1",7.17614209547719e-05,2.89548259741462e-05,0.0670679938681963
" ENSG00000169967.17|MAP3K2",1.94227973901197e-05,8.56905861000088e-06,0.000872702125544911
" ENSG00000145743.18|FBXL17",2.05236660943715e-06,3.4408183601869e-06,4.23375855195252e-05
" ENSG00000146729.10|NIPSNAP2",2.36066156721449e-05,1.15011627406454e-05,0.00188699691442074
" ENSG00000151239.14|TWF1",1.46251611604015e-06,9.88660862044632e-06,0.000771017405969188
" ENSG00000146648.21|EGFR",9.26519061865172e-05,2.85661758614289e-05,0.00126244927300734
" ENSG00000011201.12|ANOS1",6.17764319485625e-06,3.37254636105148e-06,0.000412640219820728
" ENSG00000173208.4|ABCD2",5.93785170585175e-05,1.6725690973142e-05,0.0109127070661024
" ENSG00000070367.16|EXOC5",0.000100168227986883,4.37409842532219e-05,0.00185735958527278
" ENSG00000164104.12|HMGB2",1.90352569506835e-06,1.32198190827548e-06,0.000543815118105084
" ENSG00000058063.16|ATP11B",3.43814046380625e-06,6.02983845457266e-06,0.000946498648950686
" ENSG00000113163.19|CERT1",4.84388067724503e-06,3.23483466672128e-06,0.000326233872677495
" ENSG00000113391.19|FAM172A",0.000250390062955083,7.49425035173019e-05,0.016400640740301
" ENSG00000265808.4|SEC22B",1.93974659210233e-06,3.76567209117162e-05,0.00780734173800124
" ENSG00000109790.18|KLHL5",2.58404722126282e-05,3.92833097981647e-05,0.000542328775145262
" ENSG00000084733.11|RAB10",2.12403141824602e-05,7.79316903172204e-05,0.00101282731903257
" ENSG00000135503.13|ACVR1B",7.81804598414469e-06,6.73578264127652e-06,0.00324482676601294
" ENSG00000082438.18|COBLL1",0.000316434561396828,5.28132637027398e-05,0.00234178433390309
" ENSG00000104957.14|YJU2B",5.64715493976964e-05,2.15027970972065e-05,0.00283554522015783
" ENSG00000152332.16|UHMK1",2.67026103188398e-05,1.23797943323289e-05,0.000953227202251272
" ENSG00000116574.6|RHOU",0.00117469836113104,0.000104092622374195,0.0991305387143302
" ENSG00000108771.13|DHX58",6.03638052569799e-05,4.04121529218098e-05,0.063504098536508
" ENSG00000118564.15|FBXL5",7.08126243964457e-06,1.30719662887401e-05,0.000431894686387625
" ENSG00000138593.9|SECISBP2L",0.000246303668416419,7.19268711141946e-05,0.108275231468407
" ENSG00000122970.16|IFT81",0.000205801233917303,4.64989930137789e-05,0.00791819029622631
" ENSG00000163590.14|PPM1L",5.01048084109954e-05,3.08523188648642e-05,0.000640507064767593
" ENSG00000048740.19|CELF2",6.8930684615758e-05,5.72068243780421e-05,0.00220998050778121
" ENSG00000140299.14|BNIP2",6.15056735256127e-05,2.26765883949431e-05,0.00471377453544992
" ENSG00000135316.20|SYNCRIP",9.49800753804242e-06,1.42115327562299e-05,0.00135334536396707
" ENSG00000072364.13|AFF4",3.79251549620285e-05,1.92543788988105e-05,0.0087448688856524
" ENSG00000135655.16|USP15",3.78086265606809e-05,2.66643128317046e-05,0.00071823945042579
" ENSG00000164684.13|ZNF704",1.98289940313785e-05,1.43059502757153e-05,0.00323392018485823
" ENSG00000102753.10|KPNA3",0.000179511107478257,0.000105134197138645,0.00500533900168043
" ENSG00000178163.8|ZNF518B",0.000134191309099117,5.19116771008011e-05,0.000957139883516311
" ENSG00000171617.16|ENC1",0.000142951827804771,7.85915117990088e-05,0.00156720496053686
" ENSG00000104320.15|NBN",0.000272202179554464,9.66692589797283e-05,0.00363527540327113
" ENSG00000117500.13|TMED5",4.14023933157122e-06,0.00939267901838847,0.016764714797086
" ENSG00000118596.12|SLC16A7",6.97732672338967e-07,0.000542585219818495,0.000150897302752967
" ENSG00000135018.14|UBQLN1",0.00023520795646226,0.000102796522558282,0.00183573423890926
" ENSG00000074603.19|DPP8",5.36442338060025e-06,1.32644532902477e-05,0.00239780916903478
" ENSG00000065243.20|PKN2",2.34298753006433e-05,1.43518376080904e-05,0.00131330915084962
" ENSG00000163848.21|ZNF148",0.000347960739524949,8.27308771855322e-05,0.00356020481201418
" ENSG00000123684.13|LPGAT1",0.00042308569358697,9.60177498475387e-05,0.00924709252977762
" ENSG00000159593.15|NAE1",7.75911942932908e-05,4.2943910590976e-05,0.014169717795086
" ENSG00000155229.21|MMS19",0.000261241934857437,6.42169004941257e-05,0.00585237296867502
" ENSG00000134352.21|IL6ST",3.0805483392182e-05,4.70790782096664e-05,0.043588252223897
" ENSG00000050165.19|DKK3",0.00214109738024248,4.0063155090238e-05,0.0117024866784275
" ENSG00000159399.10|HK2",0.00157984500757701,3.84740919287884e-05,0.00271195488728615
" ENSG00000204196.5|RPL12P16",0.0605708249446618,0.000230002534890759,0.00895176798794698
" ENSG00000091527.17|CDV3",6.71988954409137e-05,4.14387154647362e-05,0.00436504076579058
" ENSG00000110090.13|CPT1A",3.02278620489815e-06,1.81810066782498e-05,0.000404141400053912
" ENSG00000165650.12|PDZD8",0.000491862502286605,0.000153583559969121,0.00348549423545424
" ENSG00000258572.1|ENSG00000258572",0.000733530586672446,7.04173338089698e-05,0.00600890223838102
" ENSG00000203706.9|SERTAD4-AS1",0.000357735865357256,9.79491907068982e-05,0.00193716631260465
" ENSG00000171163.16|ZNF692",0.000174830475559329,0.000101862359810163,0.00396636586253946
" ENSG00000160551.12|TAOK1",3.26553112857168e-06,7.23462823814765e-06,0.0061681818441604
" ENSG00000129515.20|SNX6",1.20301630873746e-05,0.00125659550844215,0.00444084316390403
" ENSG00000077147.16|TM9SF3",4.97412216867915e-05,6.58092462653888e-05,0.0190827062509223
" ENSG00000156273.16|BACH1",0.000481983164536105,9.0539597102792e-05,0.0101279443416571
" ENSG00000154059.11|IMPACT",0.000371573107779067,0.000124143275529627,0.0460386727919614
" ENSG00000174574.16|AKIRIN1",0.000404051848430096,0.00011181424871054,0.0041358271279684
" ENSG00000177508.12|IRX3",0.000322105580509171,6.14665011183131e-05,0.0360228455498638
" ENSG00000005893.17|LAMP2",8.86708729176543e-05,7.60485364381661e-05,0.000790826009142043
" ENSG00000100485.12|SOS2",0.000401944086772098,6.89302005196704e-05,0.00309565609998752
" ENSG00000146197.9|SCUBE3",0.0106762796511937,0.000280759645838562,0.00920550878611865
" ENSG00000110422.12|HIPK3",6.21570054789174e-05,1.98842083136697e-05,0.0187363826524031
" ENSG00000121741.17|ZMYM2",7.83910528912753e-05,7.10409257931952e-05,0.00104429235147707
" ENSG00000123636.19|BAZ2B",0.000560578367399311,7.59297257361982e-05,0.00375937377586943
" ENSG00000123124.14|WWP1",0.000150867076536051,9.09506263091207e-05,0.00150869488504635
" ENSG00000080493.19|SLC4A4",0.000754302480180723,0.000113854998248333,0.0869779440340227
" ENSG00000074695.6|LMAN1",0.000625159562002746,0.00016103214396131,0.027895513899508
" ENSG00000112964.14|GHR",5.13393102767735e-05,2.36487155301759e-05,0.00310108883511016
" ENSG00000140691.18|ARMC5",0.00113298526691519,0.000172640536120398,0.00639030738493145
" ENSG00000163412.13|EIF4E3",0.000436104094753855,0.000238749850742784,0.00314258038682735
" ENSG00000116406.20|EDEM3",0.0011030674535998,0.000252629780719253,0.00362494288114634
" ENSG00000111897.7|SERINC1",1.8740662097209e-05,0.00288986489615617,0.00419264425040355
" ENSG00000099246.18|RAB18",8.10936046933446e-05,0.000487073158574658,0.00140102518358422
" ENSG00000259654.1|ENSG00000259654",0.0402271983312603,0.000151554669699183,0.0314363954922054
" ENSG00000115365.13|LANCL1",0.000128933708563519,8.72283758604384e-05,0.00125642053510511
" ENSG00000119900.9|OGFRL1",0.00124628634042109,0.000263121009326428,0.145254680035311
" ENSG00000119318.13|RAD23B",0.000418633536254274,0.000136291245763246,0.00646775737779715
" ENSG00000169018.6|FEM1B",0.000289525173098468,0.00011126019947296,0.00466482507741695
" ENSG00000203709.14|MIR29B2CHG",0.00272405121078856,0.000151151178782715,0.084675071641128
" ENSG00000124532.15|MRS2",0.00026382481278541,0.000108990277496104,0.00323194695114304
" ENSG00000048405.11|ZNF800",0.000580524755427207,0.000136231076595059,0.0971239370949177
" ENSG00000265107.3|GJA5",3.03335594395993e-05,9.01681983944691e-06,0.00183180554104734
" ENSG00000139977.14|NAA30",2.69228304673339e-06,0.00117948736873053,0.000547117094649829
" ENSG00000130558.20|OLFM1",0.00355646079159366,0.000199959153125279,0.0119170937414672
" ENSG00000178691.11|SUZ12",0.000327774749939947,0.000172677294748982,0.00225428690913976
" ENSG00000075420.13|FNDC3B",0.00015729598298249,4.42735519483205e-05,0.00351018921072497
" ENSG00000198146.4|ZNF770",2.67211234680262e-05,2.225345946899e-05,0.000564155127059937
" ENSG00000177738.6|ANXA2R-OT1",0.00106801110176125,0.000152981523670217,0.00483314517057643
" ENSG00000091039.17|OSBPL8",2.884519174721e-06,7.30694382677226e-06,0.000722851574544738
