"","HIGH","LOW","MOD"
" ENSG00000126368.6|NR1D1",0,0,0
" ENSG00000105516.11|DBP",5.55111512312578e-16,0,0
" ENSG00000111817.19|DSE",1.85906066316078e-13,4.44089209850063e-16,1.51434420558871e-13
" ENSG00000104765.16|BNIP3L",1.44017695162315e-13,1.77635683940025e-15,3.68594044175552e-14
" ENSG00000177663.15|IL17RA",2.24065627666616e-11,8.99280649946377e-15,2.39327272277386e-12
" ENSG00000117758.14|STX12",9.27355382503565e-13,1.62980740014973e-13,2.77577960616782e-12
" ENSG00000064225.13|ST3GAL6",1.13361231605242e-11,3.46389583683049e-14,2.66947915421792e-11
" ENSG00000004660.15|CAMKK1",1.1204592809122e-10,2.36477504245158e-14,1.30566668588017e-11
" ENSG00000185361.9|TNFAIP8L1",1.83818293919558e-09,4.89053242347381e-13,1.14804776796262e-09
" ENSG00000105835.13|NAMPT",3.05607969227222e-12,5.44897460486027e-13,2.8634872251132e-12
" ENSG00000161813.23|LARP4",1.27663123755578e-10,6.19948536950687e-13,2.94106961007401e-11
" ENSG00000119801.13|YPEL5",5.42586640281326e-10,3.03862246989571e-13,1.68233205144475e-11
" ENSG00000140450.9|ARRDC4",9.70628927364447e-10,9.79127889877418e-12,8.1333273449502e-11
" ENSG00000145675.16|PIK3R1",1.7972344116532e-08,1.62003743753303e-12,5.69069030817962e-11
" ENSG00000178607.17|ERN1",3.02454577719602e-09,2.00905958536168e-12,1.1540254873218e-10
" ENSG00000165030.4|NFIL3",1.29521550588235e-08,1.23081544955994e-11,4.10408710446277e-10
" ENSG00000126351.13|THRA",3.70211850064806e-09,1.62483360099941e-11,2.81261726525854e-09
" ENSG00000139651.11|ZNF740",8.54697038369621e-09,4.19905221704653e-11,4.10694489527685e-09
" ENSG00000011198.10|ABHD5",3.32404940560427e-09,1.15293844067923e-11,2.47240783401992e-10
" ENSG00000117143.14|UAP1",5.99914448821003e-09,2.2045223714283e-11,9.44840872207919e-11
" ENSG00000106003.14|LFNG",1.58450196297011e-08,2.36079517077886e-11,1.24475318941109e-10
" ENSG00000174738.13|NR1D2",2.64401744942688e-09,2.62025874516388e-11,3.73828877764652e-09
" ENSG00000083223.18|TUT7",1.14742675635347e-08,1.00482500346868e-10,3.22540750774536e-08
" ENSG00000186918.14|ZNF395",6.58400878261745e-09,6.21291352097378e-11,1.12615449188169e-08
" ENSG00000196569.14|LAMA2",2.70151905190626e-09,2.25878205029062e-11,1.54423906995049e-09
" ENSG00000136156.15|ITM2B",2.40392677308542e-08,8.43742298251016e-10,1.49011423312399e-09
" ENSG00000211455.8|STK38L",1.99406360168235e-07,3.22334782021486e-09,1.13197784479269e-09
" ENSG00000075643.6|MOCOS",1.43210189281998e-08,6.60783650019425e-11,2.29345664681802e-09
" ENSG00000261208.1|ENSG00000261208",5.79855874690524e-07,9.87259884954739e-09,7.29915528019376e-09
" ENSG00000179941.9|BBS10",1.19131587269393e-07,8.56981596797368e-10,6.69991412349802e-07
" ENSG00000171940.14|ZNF217",2.97863729048304e-08,7.42008180752898e-11,1.45962031350422e-09
" ENSG00000125864.14|BFSP1",4.38150629111789e-08,7.1476898844125e-09,3.71955111155842e-09
" ENSG00000159208.16|CIART",1.47525043736607e-07,2.56854648661431e-10,2.04915862056509e-09
" ENSG00000185271.9|KLHL33",8.32897205649274e-08,1.68681513201818e-10,2.48866432793488e-09
" ENSG00000170871.12|KIAA0232",4.35468676527574e-09,3.9402560471963e-10,1.61693658462525e-10
" ENSG00000221914.11|PPP2R2A",7.7387920506807e-08,8.02613753236869e-10,1.04637712068635e-07
" ENSG00000198885.10|ITPRIPL1",2.38433895516366e-07,2.15376262064707e-08,3.93478216675902e-09
" ENSG00000100336.18|APOL4",7.43594351547024e-06,5.02002350799557e-09,1.30452902924461e-08
" ENSG00000040199.18|PHLPP2",1.10455531566909e-08,1.50642831542314e-10,4.53817095014131e-09
" ENSG00000125812.16|GZF1",2.11936692459841e-08,7.48128333136215e-10,5.80887065576541e-09
" ENSG00000116489.13|CAPZA1",2.55123121399339e-08,3.06976777331158e-09,5.86776394140287e-09
" ENSG00000106211.10|HSPB1",4.7335021347017e-08,1.05631643432247e-08,3.9627878756221e-09
" ENSG00000154265.16|ABCA5",3.74499565084096e-08,9.90429738223497e-10,6.85856014204234e-08
" ENSG00000167074.15|TEF",1.5156174548725e-07,2.84614430282165e-10,1.1098059138348e-09
" ENSG00000101577.11|LPIN2",5.18440595801317e-08,6.05784877816262e-09,4.13018796940889e-09
" ENSG00000117461.15|PIK3R3",1.16137023671351e-07,1.19463753585274e-09,6.87718046686481e-08
" ENSG00000148572.16|NRBF2",2.03522834799263e-08,2.38437614097364e-09,2.5472255416048e-09
" ENSG00000183111.12|ARHGEF37",1.03727155975619e-07,3.59349128231656e-09,4.9012666147874e-09
" ENSG00000171862.15|PTEN",6.33166324056564e-08,2.96947857992912e-09,2.87983512277887e-09
" ENSG00000079215.15|SLC1A3",6.22289989974616e-07,1.82541866015301e-09,1.91195470566896e-09
" ENSG00000135821.19|GLUL",3.26831501384338e-07,4.379619704686e-08,3.22858717538566e-09
" ENSG00000123411.15|IKZF4",1.92630146187e-06,8.35139901678161e-09,1.3412753185893e-07
" ENSG00000215559.9|ANKRD20A11P",2.93982287172316e-06,2.16194195878927e-09,1.48912047736622e-08
" ENSG00000169242.12|EFNA1",6.31915733628752e-07,1.34350648384185e-08,4.87616936970379e-06
" ENSG00000064042.18|LIMCH1",4.48453292484961e-08,1.31519520829571e-08,1.23330607948446e-08
" ENSG00000156273.16|BACH1",1.02049193893571e-07,9.11708597506333e-10,9.45730846435656e-09
" ENSG00000106052.14|TAX1BP1",1.26289549701515e-07,2.50070223417609e-08,5.36040423160244e-08
" ENSG00000100335.15|MIEF1",1.45087675510509e-07,3.05614668182548e-09,3.94319799035259e-09
" ENSG00000140968.12|IRF8",1.57461652409924e-06,1.51552431715274e-08,3.35422739583535e-08
" ENSG00000164850.16|GPER1",1.03932176531707e-07,2.02473600108277e-08,1.19706112799989e-08
" ENSG00000139826.6|ABHD13",4.66615955028817e-08,3.55192042444941e-09,2.93524298200509e-08
" ENSG00000104635.15|SLC39A14",2.36745181277862e-05,1.25128867267676e-08,8.94697947950718e-08
" ENSG00000159674.12|SPON2",1.71243991797798e-06,1.21632891536549e-08,4.46926793351565e-08
" ENSG00000215301.11|DDX3X",2.65354703359956e-07,8.42732172934291e-09,3.45556764425048e-07
" ENSG00000101695.9|RNF125",2.04658494817878e-07,6.06744948727922e-08,2.76575680135949e-08
" ENSG00000123505.19|AMD1",2.16563036410788e-06,7.01573098393915e-07,4.56737465067496e-08
" ENSG00000203710.12|CR1",0.000265765302178909,4.97096532825481e-08,4.04210234505875e-07
" ENSG00000138071.15|ACTR2",1.15379040512631e-06,4.69349098104386e-08,1.2680697480949e-07
" ENSG00000126070.20|AGO3",1.70407324057558e-07,5.63950223186893e-08,2.29995149592099e-08
" ENSG00000165084.16|C8orf34",2.48669558200465e-06,5.55408962968766e-09,1.9530839834303e-08
" ENSG00000170801.10|HTRA3",4.95293981603934e-07,1.82350390343089e-09,6.69083745565317e-09
" ENSG00000164221.13|CCDC112",5.47435868192281e-07,8.31517225075018e-08,4.97264538434905e-08
" ENSG00000119508.18|NR4A3",2.24455538720691e-05,2.88474281462392e-07,2.78575769341316e-07
" ENSG00000112039.6|FANCE",3.71634032103607e-07,2.04463305602762e-09,1.34787274674864e-08
" ENSG00000162852.14|CNST",2.87697354357472e-06,1.35103986886875e-07,3.10355158128495e-07
" ENSG00000163694.15|RBM47",3.68364464366297e-06,8.14485034972279e-09,1.59109625349156e-07
" ENSG00000062650.20|WAPL",6.12056045963071e-07,2.04128540737258e-08,1.03315944642542e-07
" ENSG00000123095.6|BHLHE41",9.69741438983096e-06,4.57977130983014e-08,6.55238087121646e-08
" ENSG00000039537.16|C6",4.82567631234194e-06,4.83814610596767e-09,4.42675978897925e-08
" ENSG00000137168.8|PPIL1",1.46208323337227e-07,1.22651583334132e-08,1.35017766966783e-08
" ENSG00000130147.16|SH3BP4",4.96648646985953e-07,5.72986076363691e-08,4.70823676712584e-08
" ENSG00000121039.10|RDH10",5.41095517939949e-06,6.69186861479432e-09,2.66941919033498e-08
" ENSG00000186481.17|ANKRD20A5P",4.51694764830844e-05,3.63174295081071e-07,1.03598394529669e-07
" ENSG00000168427.9|KLHL30",1.66958828540231e-05,2.23067312843384e-07,1.51843850394449e-07
" ENSG00000147251.16|DOCK11",6.2630586839696e-08,1.21066966451977e-08,4.36149594218449e-08
" ENSG00000182541.18|LIMK2",4.25213172052228e-07,1.31021170579615e-08,1.02981717930994e-07
" ENSG00000127948.17|POR",1.55610744181279e-06,2.00596622208897e-07,8.85336298717121e-08
" ENSG00000235033.7|DAAM2-AS1",4.40717216513128e-06,1.25457216504365e-07,2.20020353864819e-05
" ENSG00000119684.16|MLH3",1.63684885116232e-06,5.85971191569001e-08,5.31152283378411e-07
" ENSG00000135655.16|USP15",2.62333319624397e-06,2.28814675984346e-07,3.21814424148598e-07
" ENSG00000136527.19|TRA2B",7.74567928235632e-07,3.50349351752044e-08,1.0876856518522e-07
" ENSG00000174574.16|AKIRIN1",1.57336069065366e-06,2.26875459857283e-07,9.06683194079605e-08
" ENSG00000152332.16|UHMK1",1.82917005545366e-06,2.97375806439044e-07,1.01161022225682e-07
" ENSG00000205221.13|VIT",2.71089944406184e-05,7.74796197193273e-07,3.54363214660758e-07
" ENSG00000170458.15|CD14",1.27783007278732e-05,8.66825734746612e-07,4.70436645638728e-07
" ENSG00000139132.16|FGD4",6.45835647405946e-07,3.25708442439065e-08,5.95276893333718e-08
" ENSG00000067182.9|TNFRSF1A",1.63790743070499e-06,4.28513672656727e-07,5.63057021230051e-07
" ENSG00000204580.14|DDR1",4.59394976937244e-06,9.41821187705472e-09,6.81003955675913e-08
" ENSG00000127314.18|RAP1B",7.70612432500704e-07,2.90158439497645e-08,1.42531331016981e-07
" ENSG00000133195.12|SLC39A11",1.25152840033061e-05,0.000195051911564296,4.53321841398235e-07
" ENSG00000155229.21|MMS19",1.54400270291344e-06,2.11032942676326e-07,5.00895171340332e-07
" ENSG00000126778.12|SIX1",1.83269569050681e-05,3.38783309785734e-07,3.3840247504191e-07
" ENSG00000243927.6|MRPS6",8.0768097898698e-07,4.14052505281069e-08,1.44863196327328e-05
" ENSG00000214944.10|ARHGEF28",1.5937750684758e-06,2.80270321395548e-07,1.75451709050201e-07
" ENSG00000145819.18|ARHGAP26",7.31368266339757e-05,1.86955202652328e-07,3.08221662859988e-07
" ENSG00000173744.18|AGFG1",4.42101440981703e-06,2.94140332202097e-07,0.00109868105684528
" ENSG00000186470.14|BTN3A2",1.85434529709205e-06,1.2689778117192e-07,1.4833308337181e-07
" ENSG00000122958.15|VPS26A",5.02727220416973e-06,2.37087960153204e-07,3.53963038543228e-06
