"module","ID"
1,"ARF5"
1,"M6PR"
4,"ESRRA"
1,"FKBP4"
1,"CYP26B1"
4,"NDUFAF7"
2,"FUCA2"
6,"DBNDD1"
13,"HS3ST1"
9,"SEMA3F"
7,"CYP51A1"
1,"USP28"
4,"STPG1"
9,"NIPAL3"
6,"TMEM176A"
2,"SLC7A2"
16,"HSPB6"
6,"ZNF195"
2,"PDK4"
1,"RALA"
8,"BCAP29"
9,"BAIAP2L1"
0,"TMEM132A"
3,"DVL2"
10,"GGCT"
11,"RPAP3"
10,"IFRD1"
0,"HOXA11"
9,"CX3CL1"
1,"PRR5"
5,"TRAPPC6A"
0,"SPATA20"
7,"CD79B"
2,"RHBDD2"
2,"RPUSD1"
1,"TSR3"
4,"OSBPL7"
3,"ARHGAP33"
1,"NDUFAB1"
4,"YBX2"
4,"PDK2"
6,"ITGA3"
1,"LRRC23"
4,"IL32"
9,"SPRTN"
1,"CRY1"
0,"STARD3NL"
6,"CD9"
4,"CD74"
10,"RPS20"
0,"DYRK4"
2,"FAM76A"
2,"MGST1"
1,"CPA1"
7,"SYPL1"
4,"RANBP9"
6,"CD4"
1,"PLEKHG6"
3,"SS18L2"
3,"TSPAN9"
4,"QPCTL"
1,"HIVEP2"
8,"PPP5C"
1,"NME1"
1,"UBR7"
11,"MAP4K5"
4,"INMT"
3,"ERCC1"
15,"GPRC5A"
3,"HEBP1"
0,"COX15"
11,"XYLT2"
2,"FTSJ1"
3,"RALBP1"
13,"SNAI2"
1,"VDAC3"
1,"RTF2"
1,"SLC45A4"
3,"RB1CC1"
5,"AKAP11"
3,"STRAP"
1,"PIGQ"
1,"B4GALT7"
11,"SLC39A9"
5,"FAM13B"
3,"RANBP3"
4,"CHPF2"
1,"GABARAPL2"
5,"MYOC"
1,"FAM136A"
6,"NSMAF"
1,"TTC17"
4,"HOXC8"
8,"MRI1"
7,"BOD1L1"
11,"TARBP1"
3,"RIPOR1"
3,"PSMA4"
13,"RIPOR3"
14,"SPATA7"
7,"CTNS"
6,"LCP2"
5,"GOPC"
13,"DCN"
1,"MRPS10"
6,"GRN"
10,"THAP3"
4,"VAMP3"
7,"RCN1"
10,"RFC2"
0,"PPP1R3F"
4,"NEXMIF"
7,"ARHGEF5"
4,"NFE2L3"
8,"SIKE1"
1,"TLL1"
2,"CLDN11"
3,"FAM168A"
6,"RELT"
5,"CDC27"
4,"PKP2"
4,"IL1RAP"
2,"YIPF1"
1,"ADCK2"
2,"SLC2A3"
2,"ENPP2"
2,"CTDP1"
5,"GNA11"
1,"PIGV"
9,"HDAC7"
1,"MRPS35"
8,"APPBP2"
16,"CA11"
1,"ISOC2"
5,"EPN1"
6,"CD22"
14,"ZFY"
10,"HDHD5"
6,"KCNQ1"
9,"TRIB2"
3,"OTUD5"
1,"GPKOW"
5,"AQR"
4,"ST6GALNAC1"
1,"MBD3"
2,"LMCD1"
2,"PSMC4"
4,"CAMKK1"
12,"ACAP1"
1,"DERL2"
3,"ANO8"
4,"KDM4B"
4,"PANX2"
1,"ICAM3"
1,"CTTNBP2"
3,"CIC"
10,"KIF22"
6,"CEACAM1"
4,"YTHDC2"
4,"TMEM161A"
2,"BCAR1"
1,"FOXJ2"
3,"TNFRSF1A"
8,"GOLGA5"
1,"CELSR3"
0,"PPP2R5B"
4,"PYGM"
14,"BCL3"
6,"KCNAB2"
2,"PIGB"
4,"PDZD4"
15,"REEP1"
2,"FSTL3"
5,"TRIP13"
4,"P4HA2"
3,"VASH1"
11,"LLGL2"
1,"KRT14"
1,"HSD17B10"
0,"MASP1"
9,"ST6GAL1"
1,"TIMM21"
7,"BPIFB2"
3,"REXO1"
3,"MKRN2"
1,"GPATCH1"
6,"IL4R"
1,"KEAP1"
12,"P2RY10"
10,"TNS1"
13,"NGFR"
15,"NTN1"
14,"ISOC1"
3,"TRO"
3,"MNT"
3,"LAPTM4A"
1,"PTPN18"
11,"DRD4"
17,"ALDH3A2"
9,"STK10"
1,"ALPK1"
12,"TBX21"
1,"MRPS34"
13,"CA12"
4,"MAP2K5"
3,"TIGAR"
6,"MTMR7"
4,"FAM107B"
1,"CDK13"
14,"FAR2"
13,"TRAM2"
1,"NDUFB4"
2,"HEATR6"
8,"ERLEC1"
9,"CLIC5"
3,"TMEM131"
1,"ARPP21"
9,"CEACAM21"
1,"TMEM38A"
0,"ZNF222"
1,"ACTR6"
1,"SLC25A3"
6,"FAP"
11,"NFKB2"
15,"DMRT3"
4,"OSBPL6"
6,"CCN5"
2,"CTSA"
0,"ANKRD16"
5,"BLTP3A"
2,"OSTM1"
6,"IMPG2"
2,"ACTN1"
0,"NAIP"
8,"DELE1"
1,"PCDHB4"
0,"PCDHB2"
1,"IFT25"
13,"STRADB"
15,"DLG3"
3,"SEMA5B"
4,"PLOD1"
1,"TDRD3"
4,"OXCT1"
3,"ZNF324"
1,"ZNF416"
10,"RPS5"
1,"FAM234B"
6,"PILRA"
0,"RRN3"
1,"MOGAT2"
3,"CHERP"
1,"DIMT1"
8,"EIF2AK1"
2,"EPDR1"
1,"MRPL28"
8,"RBM22"
1,"MAP2"
1,"ZW10"
15,"ITGB4"
1,"PPP1R15A"
2,"TRIP6"
3,"ADAM11"
8,"LAMP2"
1,"CETP"
0,"EPS8L1"
13,"CACNB4"
1,"DNMT3B"
8,"REM1"
12,"PDRG1"
2,"EPB41L1"
9,"PPP1R13B"
1,"RALGAPA2"
10,"RPL6"
7,"ESF1"
10,"SLC8B1"
2,"TMEM230"
17,"OAS1"
0,"SIRT4"
11,"TRMT6"
3,"HAUS5"
4,"UQCRC1"
6,"GMIP"
1,"MLF2"
4,"OTUB2"
13,"LTBP4"
2,"TFAP4"
1,"PDCD7"
1,"SPG21"
1,"CHRD"
2,"FLT3LG"
1,"GNPTG"
4,"GOLGA3"
6,"CD209"
6,"EFNB1"
1,"GLG1"
5,"NAT14"
3,"AASDH"
1,"DLD"
2,"ABCC6"
0,"CMTM6"
1,"SPAG7"
6,"ESR1"
4,"RGS17"
1,"TMEM101"
4,"CCDC80"
13,"CMA1"
7,"PSME1"
4,"HAUS4"
10,"OSGEP"
5,"G2E3"
2,"TGM1"
4,"TBX15"
8,"UNC13D"
0,"XYLB"
2,"ADH1A"
12,"KRT23"
0,"CDC6"
6,"AAAS"
7,"CBX5"
10,"KLHL20"
2,"FMO2"
4,"DHPS"
5,"PSMD5"
1,"NANS"
3,"SEMA4G"
1,"MAPK13"
6,"TMEM14A"
3,"BAG6"
11,"PRRT1"
12,"LST1"
2,"ZNF184"
8,"VCL"
4,"SIRT1"
8,"TGFBR3"
1,"TMED1"
3,"MZF1"
1,"OCEL1"
1,"PSMD8"
1,"STX1B"
1,"BCL7C"
1,"ATP5F1D"
8,"FGF22"
2,"MARCHF2"
1,"NDUFB7"
1,"TECR"
1,"TIMM13"
4,"CDC34"
10,"GADD45B"
0,"MADCAM1"
9,"MAPK12"
17,"SNAP29"
7,"THAP7"
0,"MMP11"
4,"MIF"
8,"DDTL"
8,"TBC1D10A"
3,"SF3A1"
1,"USP18"
7,"SNRPD3"
5,"MAPK1"
9,"TCN2"
3,"MORC2"
1,"SLC25A1"
1,"PDXP"
1,"ASPHD2"
1,"LGALS1"
1,"PIK3IP1"
12,"SRRD"
11,"PATZ1"
1,"ANKRD54"
1,"SNU13"
9,"MICALL1"
8,"KDELR3"
2,"DMC1"
10,"HSCB"
1,"CBY1"
1,"TOMM22"
4,"XBP1"
1,"RTCB"
4,"JOSD1"
3,"GTPBP1"
5,"PPP6R2"
0,"DNAL4"
5,"LMF2"
8,"CBX6"
4,"RHBDD3"
4,"APOBEC3D"
10,"HMGXB4"
6,"HMOX1"
0,"NIPSNAP1"
1,"MCM5"
1,"ARSA"
8,"RASD2"
4,"TTLL12"
1,"CBX7"
1,"ACR"
10,"RPL3"
13,"SYNGR1"
11,"TAB1"
1,"PNPLA3"
3,"MYH9"
1,"TXN2"
3,"FOXRED2"
10,"EIF3D"
1,"ADSL"
0,"FAM118A"
4,"ST13"
12,"IL2RB"
1,"RBX1"
1,"L3MBTL2"
1,"CHADL"
1,"PHF5A"
4,"ACO2"
4,"PMM1"
4,"CERK"
3,"BRD1"
7,"ZBED4"
11,"HDAC10"
5,"RIPK3"
11,"PAPOLA"
1,"HSP90AA1"
0,"NID2"
3,"MARK3"
4,"SNAPC1"
5,"SUPT16H"
8,"ABHD4"
1,"FKBP3"
13,"CTSG"
12,"GZMH"
12,"GZMB"
4,"PRMT5"
6,"COCH"
5,"AP4S1"
0,"POLE2"
5,"SOS2"
4,"CDKL1"
2,"PYGL"
9,"GNPNAT1"
11,"CNIH1"
4,"CGRRF1"
1,"ATP6V1D"
2,"PIGH"
1,"PSMA3"
1,"GSTZ1"
5,"TMED8"
5,"SAMD15"
1,"AHSA1"
9,"SPTLC2"
9,"RIN3"
6,"ALKBH1"
1,"DHRS7"
4,"SIX4"
1,"CEP128"
3,"EIF5"
4,"ZFYVE21"
7,"VRK1"
1,"APEX1"
4,"PABPN1"
2,"EFS"
1,"CINP"
11,"SRP54"
4,"PCK2"
7,"NFKBIA"
1,"EMC9"
1,"PSME2"
9,"BRMS1L"
9,"PNN"
2,"RABGGTA"
1,"PTPRA"
3,"NSFL1C"
3,"ZFP64"
2,"PYGB"
2,"PROCR"
0,"MYBL2"
8,"PABPC1L"
3,"SALL4"
1,"CSTF1"
2,"TPD52L2"
6,"CTSZ"
12,"TUBB1"
1,"SLCO4A1"
8,"TCFL5"
6,"UBOX5"
1,"PTK6"
1,"ADISSP"
8,"TRIB3"
4,"CSNK2A1"
2,"MACROD2"
15,"SLC52A3"
4,"FERMT1"
7,"TM9SF4"
6,"TLDC2"
17,"SNTA1"
2,"OXT"
4,"PXMP4"
4,"CHMP4B"
4,"LBP"
1,"AHCY"
1,"PIGU"
1,"ACOT8"
4,"APMAP"
2,"TXNL1"
3,"MYL12A"
2,"RNF125"
4,"TAF9"
1,"IDH3G"
2,"SLC25A43"
10,"MXRA5"
1,"PSMD10"
2,"STS"
1,"PGRMC1"
2,"RHOXF1"
11,"NXT2"
6,"TLR8"
5,"WDR13"
5,"STAG2"
13,"ABCD1"
3,"BCORL1"
3,"KCND1"
1,"SLC25A14"
5,"FMR1"
10,"PQBP1"
5,"RP2"
2,"USP11"
3,"HTATSF1"
6,"TIMP1"
1,"PIN4"
10,"MAGED2"
6,"GLA"
1,"NDFIP2"
6,"ACP5"
1,"ARHGEF7"
2,"SGCG"
16,"DHRS12"
1,"ACSM2A"
7,"NTHL1"
2,"ZNF263"
13,"MMP2"
11,"ZNF205"
0,"ORC6"
0,"PHAF1"
12,"CORO1A"
1,"LYRM1"
1,"NUTF2"
13,"CBLN1"
8,"ARL2BP"
9,"PLLP"
6,"CCL22"
10,"DHODH"
1,"ACD"
10,"POLR2C"
0,"PARD6A"
1,"MMP15"
1,"USB1"
8,"CCDC113"
1,"NME3"
3,"PSMD7"
6,"SETD6"
10,"SLC38A7"
0,"HAS3"
4,"SMPD3"
2,"SLC7A6"
6,"PLA2G15"
1,"CMC2"
2,"PDIA2"
2,"ARHGDIG"
1,"MPG"
0,"HSDL1"
15,"WFDC1"
4,"USP10"
3,"TSC2"
6,"ZNF500"
2,"NME4"
1,"DECR2"
1,"ANTKMT"
1,"STUB1"
0,"RHBDL1"
12,"MEFV"
3,"CAPN15"
5,"USP31"
1,"HMOX2"
2,"TOX3"
11,"MAZ"
7,"CDIPT"
1,"BCKDK"
8,"KAT8"
12,"TMC5"
2,"SLC6A2"
7,"KNOP1"
5,"MGA"
12,"AQP9"
12,"CSK"
4,"MTFMT"
14,"RASL12"
4,"CTSH"
10,"EHD4"
7,"GABPB1"
8,"DNAJC17"
1,"VPS18"
5,"BLOC1S6"
6,"EXTL3"
4,"FDFT1"
5,"AGO2"
6,"PAG1"
4,"BRF2"
4,"ZFAND1"
6,"RIPK2"
7,"CPQ"
1,"DECR1"
8,"SFRP1"
13,"PLAT"
2,"GDAP1"
3,"PHF20L1"
10,"EIF3E"
1,"EMC2"
5,"TRPS1"
8,"CHRAC1"
14,"NCALD"
5,"UBR5"
1,"PYCR3"
5,"MTMR9"
3,"DCTN6"
6,"GSR"
1,"TNFRSF10A"
11,"PPP2CB"
1,"KCTD9"
6,"HOMER3"
3,"CNOT3"
1,"EXOSC5"
4,"PNPLA6"
